split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,q1,14722,0.20044385747545848,1467,0.09964678712131504,-0.48058769176367727,-0.37885849535465277,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
fit,q2,14739,0.20067531689517612,1440,0.09769997964583757,-0.45118632912635803,-0.36006390333175664,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
fit,q3,14831,0.20192792081364794,1483,0.09999325736632729,-0.43687158823013306,-0.3357964873313904,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
fit,q4,14640,0.19932740615682057,1414,0.09658469945355191,-0.45477598905563354,-0.33332458347082133,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
fit,q5,14515,0.1976254986588969,1408,0.09700310024112986,-0.667674237232487,-0.49721091687679264,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
safety,q1,4610,0.18165340058318227,409,0.08872017353579176,-0.48058769176367727,-0.3874868568778038,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
safety,q2,4774,0.18811569075577272,477,0.09991621281943863,-0.45118632912635803,-0.3529837191104895,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
safety,q3,5423,0.21368902198754827,519,0.09570348515581781,-0.43687158823013306,-0.3380986028909689,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
safety,q4,5580,0.21987548270155252,558,0.1,-0.45477598905563354,-0.33821527808904644,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
safety,q5,4991,0.1966664039719442,481,0.0963734722500501,-0.667674237232487,-0.48298514187335967,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
test,q1,23370,0.1919727935861208,2218,0.09490800171159607,-0.48058769176367727,-0.37571059376001315,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
test,q2,23051,0.1893523690609187,2384,0.1034228449958787,-0.45118632912635803,-0.34073078632354736,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
test,q3,24066,0.19769008345928896,2581,0.10724673813679049,-0.43687158823013306,-0.32263153642416004,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
test,q4,24682,0.20275021357692055,2388,0.09675066850336278,-0.45477598905563354,-0.30654181122779844,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
test,q5,26567,0.218234540316751,2388,0.08988594873339105,-0.667674237232487,-0.5072706925868988,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.1
fit,all,73447,1.0,14689,0.19999455389600665,-0.5320034623146057,-0.35561149895191213,[],False,global_safe,0.2
