method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_safe,0.1,conditional-threshold-059f0d9b5bf3efe2f5f9eb05,all,69704,29121,-0.32110777497291565,1.0,-0.32110777497291565,-0.3151502013206482,-0.3151502013206482,False,0.09451394468036267,0.09999656605198998,True,True,1
fiqa_s,0.1,conditional-threshold-c2b97d35ef8c29dc831a4136,low,34287,14977,-0.3023068904876709,0.9942007133122626,-0.3023068904876709,-0.30166152119636536,-0.30166152119636536,False,0.09930877592090297,0.09995326166789077,True,True,1
fiqa_s,0.1,conditional-threshold-c2b97d35ef8c29dc831a4136,high,35417,14144,-0.34666797518730164,0.9943847039335149,-0.34652444709557917,-0.33539557456970215,-0.33539557456970215,False,0.09111443657000876,0.09997171945701358,True,True,1
fiqa_l,0.1,conditional-threshold-9e1db0fac7ee034405a23163,low,34849,14598,-0.29347047209739685,0.9942937031013723,-0.29347047209739685,-0.2942705750465393,-0.29347047209739685,False,0.09997417429481477,0.0991916700917934,True,True,1
fiqa_l,0.1,conditional-threshold-9e1db0fac7ee034405a23163,high,34855,14523,-0.3668532967567444,0.9942946797889032,-0.3665923039067439,-0.34849023818969727,-0.34849023818969727,False,0.08776359202409985,0.09997934311092749,True,True,1
global_empirical,0.2,conditional-threshold-c14610a11ea6430e13f04035,all,98825,0,-0.40838387608528137,1.0,-0.40838387608528137,,-0.40838387608528137,False,0.2,,True,,1
global_safe,0.2,conditional-threshold-6f29792932160bfab2b3bbf2,all,69704,29121,-0.4115552604198456,1.0,-0.4115552604198456,-0.40087753534317017,-0.40087753534317017,False,0.18653161941925858,0.19999313210397995,True,True,1
fiqa_s,0.2,conditional-threshold-228ce7525d6e6322978561dd,low,34287,14977,-0.383338063955307,0.9942007133122626,-0.383338063955307,-0.37873685359954834,-0.37873685359954834,False,0.1939802257415347,0.19997329238165187,True,True,1
fiqa_s,0.2,conditional-threshold-228ce7525d6e6322978561dd,high,35417,14144,-0.4494555592536926,0.9943847039335149,-0.44924273785473234,-0.432389497756958,-0.432389497756958,False,0.18002654092667364,0.19994343891402716,True,True,1
fiqa_l,0.2,conditional-threshold-599522f444bf388521eec3bc,low,34849,14598,-0.3709363639354706,0.9942937031013723,-0.3709363639354706,-0.3676592707633972,-0.3676592707633972,False,0.19538580734023933,0.19995889847924372,True,True,1
fiqa_l,0.2,conditional-threshold-599522f444bf388521eec3bc,high,34855,14523,-0.47949591279029846,0.9942946797889032,-0.4791082896131742,-0.4598258435726166,-0.4598258435726166,False,0.1791421603787118,0.19995868622185498,True,True,1
global_empirical,0.3,conditional-threshold-2c61e4e850b6dab132ee36ac,all,98825,0,-0.4788987934589386,1.0,-0.4788987934589386,,-0.4788987934589386,False,0.2999949405514799,,True,,1
global_safe,0.3,conditional-threshold-bbc5324d612c6b14b726a496,all,69704,29121,-0.4833436906337738,1.0,-0.4833436906337738,-0.468754380941391,-0.468754380941391,False,0.27803282451509237,0.29998969815596993,True,True,1
fiqa_s,0.3,conditional-threshold-fe8584340612dba9898e3541,low,34287,14977,-0.44679349660873413,0.9942007133122626,-0.44679349660873413,-0.4404042661190033,-0.4404042661190033,False,0.2895849738968122,0.299993323095413,True,True,1
fiqa_s,0.3,conditional-threshold-fe8584340612dba9898e3541,high,35417,14144,-0.5298460721969604,0.9943847039335149,-0.5295849475566865,-0.5092424154281616,-0.5092424154281616,False,0.27187508823446366,0.2999858597285068,True,True,1
fiqa_l,0.3,conditional-threshold-d2d639469a3d1052260a6fb0,low,34849,14598,-0.4303160011768341,0.9942937031013723,-0.4303160011768341,-0.42392581701278687,-0.42392581701278687,False,0.2879853080432724,0.29997259898616246,True,True,1
fiqa_l,0.3,conditional-threshold-d2d639469a3d1052260a6fb0,high,34855,14523,-0.5630232095718384,0.9942946797889032,-0.5625686124020306,-0.5396709442138672,-0.5396709442138672,False,0.26988954238990104,0.29993802933278246,True,True,1
global_empirical,0.01,conditional-threshold-759e13300394cee10f9d6fab,all,98825,0,-0.16620007157325745,1.0,-0.16620007157325745,,-0.16620007157325745,False,0.009997470275739944,,True,,2
global_safe,0.01,conditional-threshold-fc8a5c22716fbfdce6d5c1e3,all,71286,27539,-0.16470275819301605,1.0,-0.16470275819301605,-0.17179100215435028,-0.16470275819301605,False,0.009987935920096513,0.008533352699807546,True,True,2
fiqa_s,0.01,conditional-threshold-ad7b5426a3add88dad3d1ec0,low,35361,13724,-0.16260549426078796,0.9943758611962543,-0.16260549426078796,-0.17215637862682343,-0.16260549426078796,False,0.009982749356635841,0.008306616146895948,True,True,2
