reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
fiqa_s_5bin,fiqa_l_5bin,0.3,fpir,33770,33869,26693,121736,0.0008132351974765065,-0.0011338059407241898,0.0027931343234540306,query,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.3,tpir_at_rank_k,1908,2035,1539,60423,0.002101848633798388,0.0004864764010058214,0.003782845522228999,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.3,fpir,34105,33770,30477,121736,-0.002751856476309391,-0.004099444700006571,-0.0014293224682920419,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.3,tpir_at_rank_k,1892,1908,1711,60423,0.0002647998278801119,-0.0006157233569086257,0.0012674443500487916,mated_identity_cluster,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.3,fpir,33455,33869,27326,121736,0.0034008017349017546,0.0014209026089242298,0.005372281001511468,query,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.3,tpir_at_rank_k,1963,2035,1583,60423,0.0011915992254605033,-0.0006800696904425852,0.0030935454689692272,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.01,fpir,1272,1162,1096,121736,-0.000903594663862785,-0.0011582440691332062,-0.0006489452585923638,query,2000,8972,False,none,1
global_empirical,fiqa_s_2bin,0.01,tpir_at_rank_k,62,54,51,60423,-0.00013239991394005594,-0.0003233502955579932,1.677897076117006e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s_2bin,0.01,fpir,1187,1162,1073,121736,-0.00020536242360517842,-0.0004435828349871854,2.464349083262141e-05,query,2000,8972,False,none,1
global_safe,fiqa_s_2bin,0.01,tpir_at_rank_k,57,54,51,60423,-4.964996772752098e-05,-0.00019149652269797408,6.711541814256705e-05,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l_2bin,0.01,fpir,1272,1195,1089,121736,-0.0006325162647039496,-0.0009118091608069921,-0.00035301800617730284,query,2000,8972,False,none,1
global_empirical,fiqa_l_2bin,0.01,tpir_at_rank_k,62,55,51,60423,-0.00011584992469754894,-0.00031604211790791547,5.144520309042275e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l_2bin,0.01,fpir,1187,1195,1046,121736,6.571597555365709e-05,-0.00021357692054938557,0.0003367943747124926,query,2000,8972,False,none,1
global_safe,fiqa_l_2bin,0.01,tpir_at_rank_k,57,55,50,60423,-3.3099978485013984e-05,-0.0001999254729746143,0.00012876716615428836,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s_5bin,0.01,fpir,1272,1155,1056,121736,-0.000961096142472235,-0.001256818032463692,-0.0006735887494249852,query,2000,8972,False,none,1
global_empirical,fiqa_s_5bin,0.01,tpir_at_rank_k,62,54,49,60423,-0.00013239991394005594,-0.00033624234919784094,1.7035310823066658e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s_5bin,0.01,fpir,1187,1155,1039,121736,-0.00026286390221462837,-0.0005257278044292567,0.0,query,2000,8972,False,none,1
global_safe,fiqa_s_5bin,0.01,tpir_at_rank_k,57,54,49,60423,-4.964996772752098e-05,-0.00020343372522059258,8.201265898436041e-05,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l_5bin,0.01,fpir,1272,1186,798,121736,-0.0007064467372018138,-0.0011828875599658277,-0.00023000591443779982,query,2000,8972,False,none,1
global_empirical,fiqa_l_5bin,0.01,tpir_at_rank_k,62,71,30,60423,0.00014894990318256292,-0.0003261285167947355,0.0006266036753252473,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l_5bin,0.01,fpir,1187,1186,770,121736,-8.214496944207137e-06,-0.0004848606821318259,0.0004682263258198068,query,2000,8972,False,none,1
global_safe,fiqa_l_5bin,0.01,tpir_at_rank_k,57,71,30,60423,0.00023169984939509788,-0.0001940124557111205,0.0006734256943826699,mated_identity_cluster,2000,8972,False,none,1
fiqa_s_2bin,fiqa_l_2bin,0.01,fpir,1162,1195,1046,121736,0.0002710783991588355,8.214496944207137e-06,0.0005503712952618781,query,2000,8972,False,none,1
fiqa_s_2bin,fiqa_l_2bin,0.01,tpir_at_rank_k,54,55,50,60423,1.6549989242506992e-05,-9.533825462572797e-05,0.0001322416141271812,mated_identity_cluster,2000,8972,False,none,1
fiqa_s_5bin,fiqa_l_5bin,0.01,fpir,1155,1186,751,121736,0.00025464940527042125,-0.00023021127686140465,0.0007395100874022463,query,2000,8972,False,none,1
fiqa_s_5bin,fiqa_l_5bin,0.01,tpir_at_rank_k,54,71,31,60423,0.0002813498171226189,-6.76748418046774e-05,0.0006744721824074402,mated_identity_cluster,2000,8972,False,none,1
fiqa_s_2bin,fiqa_s_5bin,0.01,fpir,1162,1155,1088,121736,-5.7501478609449955e-05,-0.0002464349083262141,0.00013143195110731419,query,2000,8972,False,none,1
fiqa_s_2bin,fiqa_s_5bin,0.01,tpir_at_rank_k,54,54,50,60423,0.0,-0.0001139321530966211,0.00011141730636435005,mated_identity_cluster,2000,8972,False,none,1
fiqa_l_2bin,fiqa_l_5bin,0.01,fpir,1195,1186,858,121736,-7.393047249786423e-05,-0.0005092988105408425,0.0003452142340803038,query,2000,8972,False,none,1
fiqa_l_2bin,fiqa_l_5bin,0.01,tpir_at_rank_k,55,71,34,60423,0.0002647998278801119,-0.00011593762933448577,0.0006751366401457691,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_s_2bin,0.05,fpir,5589,5274,4752,121736,-0.002587566537425248,-0.003187224814352369,-0.0019877028980745228,query,2000,8972,False,none,1
global_empirical,fiqa_s_2bin,0.05,tpir_at_rank_k,322,307,273,60423,-0.00024824983863760486,-0.0005126887016007837,1.753080371490015e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s_2bin,0.05,fpir,5248,5274,4621,121736,0.00021357692054938557,-0.0003778668594335283,0.0007721627127554708,query,2000,8972,False,none,1
